URL,Size in Bytes,# of outlinks found,Content-Type
https://www.nytimes.com/2020/09/25/arts/music/wagner-walkure-opera-berlin.html,299989 Byte,45,text/html
https://www.nytimes.com/section/world,719598 Byte,123,text/html
https://www.nytimes.com/interactive/2020/us/arizona-coronavirus-cases.html,312691 Byte,173,text/html
https://www.nytimes.com/by/aliza-aufrichtig,471523 Byte,48,text/html
https://www.nytimes.com/2020/09/25/books/sam-mcbratney-dead.html,262181 Byte,43,text/html
https://www.nytimes.com/2020/07/14/us/coronavirus-schools-fall.html,426598 Byte,69,text/html
https://www.nytimes.com/interactive/2020/09/24/arts/new-york-fall-arts-economy.html,259316 Byte,96,text/html
https://www.nytimes.com/section/t-magazine,554949 Byte,117,text/html
https://www.nytimes.com/interactive/2020/us/georgia-coronavirus-cases.html,312893 Byte,173,text/html
https://www.nytimes.com/video/on-the-ground,1048576 Byte,99,text/html
https://www.nytimes.com/interactive/2020/us/alaska-coronavirus-cases.html,311438 Byte,173,text/html
https://www.nytimes.com/2020/09/14/books/review-homeland-elegies-ayad-akhtar.html,294800 Byte,48,text/html
https://www.nytimes.com/2020/09/25/arts/television/wilderness-of-error-errol-morris-jeffrey-macdonald.html,316617 Byte,42,text/html
https://www.nytimes.com/interactive/2020/us/arkansas-coronavirus-cases.html,313622 Byte,173,text/html
https://www.nytimes.com/2020/09/25/briefing/11-of-our-best-weekend-reads.html,354353 Byte,55,text/html
https://www.nytimes.com/interactive/2020/us/illinois-coronavirus-cases.html,314907 Byte,174,text/html
https://www.nytimes.com/interactive/2020/us/nebraska-coronavirus-cases.html,311800 Byte,173,text/html
https://www.nytimes.com/video/t-magazine,1048576 Byte,99,text/html
https://www.nytimes.com/interactive/2020/world/europe/italy-coronavirus-cases.html,314986 Byte,186,text/html
https://www.nytimes.com/2020/09/22/books/review-white-house-inc.html,271954 Byte,50,text/html
https://www.nytimes.com/2020/09/25/podcasts/the-daily/george-floyd-police-reform-election.html,332409 Byte,48,text/html
https://www.nytimes.com/2020/09/08/health/9-drug-companies-pledge-coronavirus-vaccine.html,288815 Byte,48,text/html
https://www.nytimes.com/section/movies,493218 Byte,88,text/html
https://www.nytimes.com/interactive/2020/world/americas/brazil-coronavirus-cases.html,300567 Byte,165,text/html
https://www.nytimes.com/by/matthew-goldstein,259202 Byte,49,text/html
https://www.nytimes.com/2020/04/09/us/coronavirus-navajo-nation.html,459643 Byte,48,text/html
https://www.nytimes.com/2020/09/25/opinion/sunday/unschooling-homeschooling-remote-learning.html,375758 Byte,54,text/html
https://www.nytimes.com/video/opinion,1048576 Byte,99,text/html
https://www.nytimes.com/spotlight/now-read-this,384303 Byte,76,text/html
https://www.nytimes.com/interactive/2020/us/kentucky-coronavirus-cases.html,310825 Byte,173,text/html
https://www.nytimes.com/section/theater,535716 Byte,84,text/html
https://www.nytimes.com/interactive/2020/world/europe/germany-coronavirus-cases.html,313665 Byte,174,text/html
https://www.nytimes.com/interactive/2020/us/montana-coronavirus-cases.html,309858 Byte,173,text/html
https://www.nytimes.com/section/sports,616588 Byte,106,text/html
https://www.nytimes.com/2020/09/26/books/inua-ellams-half-god-of-rainfall.html,313357 Byte,46,text/html
https://www.nytimes.com/interactive/2020/us/new-york-coronavirus-cases.html,313180 Byte,173,text/html
https://www.nytimes.com/interactive/2020/us/nevada-coronavirus-cases.html,311127 Byte,173,text/html
https://www.nytimes.com/video/2020-Elections,1048576 Byte,99,text/html
https://www.nytimes.com/interactive/2020/us/idaho-coronavirus-cases.html,311494 Byte,173,text/html
https://www.nytimes.com/spotlight/pop-culture,644554 Byte,86,text/html
https://www.nytimes.com/column/by-the-book,227382 Byte,53,text/html
https://www.nytimes.com/section/travel,617932 Byte,96,text/html
https://www.nytimes.com/interactive/2020/us/rhode-island-coronavirus-cases.html,302966 Byte,168,text/html
https://www.nytimes.com/interactive/2020/08/05/well/covid-19-symptoms.html,303183 Byte,64,text/html
https://www.nytimes.com/video/how-we-got-here,484743 Byte,59,text/html
https://www.nytimes.com/interactive/2020/world/europe/united-kingdom-coronavirus-cases.html,309240 Byte,179,text/html
https://www.nytimes.com/2020/09/25/books/review/podcast-quiet-americans-cia-scott-anderson-man-who-ran-washington-james-baker-peter-baker-susan-glasser.html,311147 Byte,73,text/html
https://www.nytimes.com/2020/09/25/arts/ford-foundation-grants-people-of-color.html,254329 Byte,49,text/html
https://www.nytimes.com/2020/09/26/us/politics/full-transcript-amy-coney-barrett.html,397337 Byte,40,text/html
https://www.nytimes.com/interactive/2020/us/california-coronavirus-cases.html,313508 Byte,174,text/html
https://www.nytimes.com/2020/09/26/at-home/use-the-renters-market-to-your-advantage.html,315028 Byte,45,text/html
https://www.nytimes.com/interactive/2020/us/coronavirus-nursing-homes.html,460511 Byte,126,text/html
https://www.nytimes.com/interactive/2020/us/south-dakota-coronavirus-cases.html,311189 Byte,173,text/html
https://www.nytimes.com/2020/09/25/t-magazine/marcus-jansen.html,253792 Byte,38,text/html
https://www.nytimes.com/2020/09/25/books/review/the-man-who-ran-washington-james-baker-peter-baker-susan-glasser.html,265741 Byte,46,text/html
https://www.nytimes.com/2020/09/26/opinion/sunday/trump-politics-humor.html,321021 Byte,57,text/html
https://www.nytimes.com/interactive/2020/us/vermont-coronavirus-cases.html,310083 Byte,173,text/html
https://www.nytimes.com/2020/09/25/health/coronavirus-children-immune.html,334679 Byte,48,text/html
https://www.nytimes.com/by/adeel-hassan,305559 Byte,52,text/html
https://www.nytimes.com/vi-assets/static-assets/ios-ipad-144x144-28865b72953380a40aa43318108876cb.png,3148 Byte,0,image/png
https://www.nytimes.com/2020/09/25/movies/father-of-the-bride-the-pandemic-and-me.html,298692 Byte,46,text/html
https://www.nytimes.com/2020/08/01/world/asia/coronavirus-vaccine-india.html,500891 Byte,58,text/html
https://www.nytimes.com/interactive/2020/us/maryland-coronavirus-cases.html,312416 Byte,173,text/html
https://www.nytimes.com/books/best-sellers/,460601 Byte,401,text/html
https://www.nytimes.com/interactive/2020/us/alabama-coronavirus-cases.html,312293 Byte,173,text/html
https://www.nytimes.com/2020/09/25/nyregion/gigi-jordan-new-trial.html,237723 Byte,40,text/html
https://www.nytimes.com/interactive/2020/us/north-dakota-coronavirus-cases.html,311668 Byte,173,text/html
https://www.nytimes.com/section/politics,818245 Byte,73,text/html
https://www.nytimes.com/2020/09/25/movies/rise-and-rise-of-michael-rimmer.html,305512 Byte,49,text/html
https://www.nytimes.com/interactive/2020/us/minnesota-coronavirus-cases.html,312376 Byte,173,text/html
https://www.nytimes.com/2020/09/26/nyregion/rochester-trump-protests-election.html,350861 Byte,64,text/html
https://www.nytimes.com/by/rachel-shorey,593626 Byte,51,text/html
https://www.nytimes.com/2020/09/24/books/review/10-new-books-to-read-this-week.html,276041 Byte,52,text/html
https://www.nytimes.com/interactive/2020/us/oklahoma-coronavirus-cases.html,312859 Byte,173,text/html
https://www.nytimes.com/newsletters/signup/BK,63580 Byte,30,text/html
https://www.nytimes.com/section/arts/music,596343 Byte,87,text/html
https://www.nytimes.com/interactive/2020/world/canada/canada-coronavirus-cases.html,314106 Byte,179,text/html
https://www.nytimes.com/2020/09/25/nyregion/nyc-outdoor-restaurants-winter.html,298305 Byte,52,text/html
https://www.nytimes.com/by/anjali-singhvi,883104 Byte,51,text/html
https://www.nytimes.com/2020/06/30/style/mask-america-freedom-coronavirus.html,347080 Byte,60,text/html
https://www.nytimes.com/by/jennifer-szalai,219335 Byte,50,text/html
https://www.nytimes.com/2020/09/26/movies/michael-lonsdale-dead.html,296485 Byte,49,text/html
https://www.nytimes.com/2020/09/24/nyregion/regis-catholic-school-racism.html,247612 Byte,39,text/html
https://www.nytimes.com/interactive/2020/us/north-carolina-coronavirus-cases.html,313771 Byte,173,text/html
https://www.nytimes.com/live/2020/09/26/us/trump-vs-biden,1048576 Byte,105,text/html
https://www.nytimes.com/column/book-review-podcast,239527 Byte,56,text/html
https://www.nytimes.com/2020/08/04/world/australia/coronavirus-melbourne-lockdown.html,405924 Byte,56,text/html
https://www.nytimes.com/interactive/2020/world/coronavirus-maps.html,482221 Byte,176,text/html
https://www.nytimes.com/section/arts/dance,578772 Byte,77,text/html
https://www.nytimes.com/2020/09/25/nyregion/akin-akman-aarmy-nyc.html,322588 Byte,45,text/html
https://www.nytimes.com/interactive/2020/world/europe/spain-coronavirus-cases.html,314900 Byte,182,text/html
https://www.nytimes.com/section/magazine,414517 Byte,75,text/html
https://www.nytimes.com/2020/09/15/books/review-audre-lorde-selected-works.html,285118 Byte,46,text/html
https://www.nytimes.com/2020/05/03/us/coronavirus-masks-protests.html,394207 Byte,55,text/html
https://www.nytimes.com/interactive/2020/us/hawaii-coronavirus-cases.html,305665 Byte,168,text/html
https://www.nytimes.com/2020/09/26/at-home/movies-and-museums-return-risks.html,286758 Byte,46,text/html
https://www.nytimes.com/2020/09/25/nyregion/trump-tax-returns-subpoena.html,274156 Byte,53,text/html
https://www.nytimes.com/by/ian-austen,276764 Byte,52,text/html
https://www.nytimes.com/2020/09/21/books/review-where-law-ends-andrew-weissmann.html,279474 Byte,47,text/html
https://www.nytimes.com/section/health,532645 Byte,98,text/html
https://www.nytimes.com/interactive/2020/us/missouri-coronavirus-cases.html,313150 Byte,173,text/html
https://www.nytimes.com/interactive/2020/09/25/arts/durer-self-portrait.html,180907 Byte,49,text/html
https://www.nytimes.com/interactive/2020/us/oregon-coronavirus-cases.html,311865 Byte,173,text/html
https://www.nytimes.com/by/mike-baker,419191 Byte,51,text/html
https://www.nytimes.com/2020/09/24/books/how-was-mein-kampf-handled-in-the-book-review-in-1943.html,257472 Byte,45,text/html
https://www.nytimes.com/2020/09/26/world/canada/schitts-creek-dan-levy-indigenous.html,337191 Byte,54,text/html
https://www.nytimes.com/section/arts/design,401286 Byte,76,text/html
https://www.nytimes.com/2020/09/25/world/covid-coronavirus.html,1048576 Byte,96,text/html
https://www.nytimes.com/interactive/2020/us/washington-dc-coronavirus-cases.html,280163 Byte,162,text/html
https://www.nytimes.com/interactive/2020/us/florida-coronavirus-cases.html,313062 Byte,173,text/html
https://www.nytimes.com/2020/09/25/arts/mark-trail-new-cartoonist.html,217477 Byte,43,text/html
https://www.nytimes.com/watching,438343 Byte,32,text/html
https://www.nytimes.com/interactive/2020/us/covid-college-cases-tracker.html,938033 Byte,129,text/html
https://www.nytimes.com/interactive/2020/01/29/books/review/best-sellers-promo-for-front-copy2.html,48917 Byte,12,text/html
https://www.nytimes.com/2020/09/26/at-home/what-to-know-about-a-used-car.html,283061 Byte,43,text/html
https://www.nytimes.com/2020/09/24/opinion/sway-kara-swisher-gavin-newsom.html,915745 Byte,53,text/html
https://www.nytimes.com/by/jon-huang,874914 Byte,49,text/html
https://www.nytimes.com/interactive/2020/world/americas/mexico-coronavirus-cases.html,299116 Byte,164,text/html
https://www.nytimes.com/2020/09/25/arts/television/kim-wall-the-investigation.html,327196 Byte,45,text/html
https://www.nytimes.com/2020/09/25/science/robert-gore-dead.html,263685 Byte,43,text/html
https://www.nytimes.com/2020/09/25/books/review/new-paperbacks.html,200903 Byte,36,text/html
https://www.nytimes.com/2020/09/25/nyregion/nyc-arts-shutdown.html,473538 Byte,65,text/html
https://www.nytimes.com/2020/09/26/opinion/sunday/trump-cuomo-new-york-revenge.html,457550 Byte,67,text/html
https://www.nytimes.com/by/rich-harris,674764 Byte,50,text/html
https://www.nytimes.com/interactive/2020/us/south-carolina-coronavirus-cases.html,313957 Byte,173,text/html
https://www.nytimes.com/2020/09/25/books/a-wordless-way-to-write-a-novel.html,177640 Byte,42,text/html
https://www.nytimes.com/2020/09/25/arts/design/virginia-jaramillo-menil-houston.html,380086 Byte,49,text/html
https://www.nytimes.com/privacy,79529 Byte,27,text/html
https://www.nytimes.com/2020/09/25/nyregion/nj-paper-plastic-bag-ban.html,300271 Byte,53,text/html
https://www.nytimes.com/by/kk-rebecca-lai,546222 Byte,50,text/html
https://www.nytimes.com/2020/09/25/books/review/politics-and-fiction-and-other-letters-to-the-editor.html,202610 Byte,36,text/html
https://www.nytimes.com/interactive/2020/science/coronavirus-drugs-treatments.html,253463 Byte,220,text/html
https://www.nytimes.com/2020/09/25/arts/television/cleveland-family-guy-arif-zahir.html,214860 Byte,41,text/html
https://www.nytimes.com/2020/09/25/nyregion/coronavirus-orthodox-jewish-communities.html,338443 Byte,55,text/html
